State,year,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,LSAD,ALAND,AWATER,variable,light_gini,top_10_sh,Gini,Top10_adj,Top5_adj,Top1_adj,top_5_sh,top_1_sh
Alabama,1990,01,01779775,0400000US01,01,AL,00,131174048583,4593327154,lpp_1990,0.423189558481481,33.0730852438019,0.55987823,40.0226059,26.1031208,12.40133572,21.8132519899065,8.14987341510448
Alabama,1995,01,01779775,0400000US01,01,AL,00,131174048583,4593327154,lpp_1995,0.409599041596292,32.0983082988193,0.5565207,41.63217926,29.50037956,13.88619804,21.41395357169,7.79637489202952
Alabama,2000,01,01779775,0400000US01,01,AL,00,131174048583,4593327154,lpp_2000,0.569738888542267,45.0471118534552,0.562732339,42.20446396,30.66991997,16.00579071,32.3024030154674,14.2952242499296
Alabama,2005,01,01779775,0400000US01,01,AL,00,131174048583,4593327154,lpp_2005,0.560265033943522,44.4534646116367,0.629092753,44.45602798,33.55674744,18.47659492,31.9654173508301,14.4230950791809
Alabama,2010,01,01779775,0400000US01,01,AL,00,131174048583,4593327154,lpp_2010,0.577283677982307,45.433652614011,0.59136045,46.23836136,32.4332428,16.74658585,32.1789288419922,13.4753068951097
Alaska,1990,02,01785533,0400000US02,02,AK,00,1478839695958,245481577452,lpp_1990,0.74123741706579,58.3335828842731,0.670734107,34.46343231,23.07458496,11.33475685,37.978722194367,12.0783707914487
Alaska,1995,02,01785533,0400000US02,02,AK,00,1478839695958,245481577452,lpp_1995,0.758422852594579,56.8873250269941,0.671232581,32.14953613,20.85534286,8.948009491,36.1491578480398,11.5843585849105
Alaska,2000,02,01785533,0400000US02,02,AK,00,1478839695958,245481577452,lpp_2000,0.589249759178148,45.1662723883757,0.574780464,36.19701004,24.807024,11.64512539,31.3430624918409,11.5798317049956
Alaska,2005,02,01785533,0400000US02,02,AK,00,1478839695958,245481577452,lpp_2005,0.613579704313978,48.7532465291483,0.589147329,34.43871307,24.46649933,12.46887112,35.0396858397748,13.0309596007524
Alaska,2010,02,01785533,0400000US02,02,AK,00,1478839695958,245481577452,lpp_2010,0.578179803740317,42.615776038711,0.564221501,35.26301193,25.56317711,12.306077,29.0376478100716,10.1025993470508
Arizona,1990,04,01779777,0400000US04,04,AZ,00,294198551143,1027337603,lpp_1990,0.685592237362027,53.352821217384,0.576357484,39.65886307,27.05340767,12.54214287,38.069471915198,14.9002122764935
Arizona,1995,04,01779777,0400000US04,04,AZ,00,294198551143,1027337603,lpp_1995,0.705392111185036,56.8162546296698,0.564447641,41.64043427,29.51070213,14.05568218,41.6618718240132,18.6857331139376
Arizona,2000,04,01779777,0400000US04,04,AZ,00,294198551143,1027337603,lpp_2000,0.706571815069604,56.6266525003914,0.576278985,45.48717499,33.80403137,18.32298088,43.0029623140476,18.8098574433385
Arizona,2005,04,01779777,0400000US04,04,AZ,00,294198551143,1027337603,lpp_2005,0.695356895431725,55.7655820084121,0.590745211,50.50734711,38.80792236,22.66134071,42.4680726416714,18.7558702510649
Arizona,2010,04,01779777,0400000US04,04,AZ,00,294198551143,1027337603,lpp_2010,0.693966518303671,53.7241940297475,0.617894828,48.65074158,33.92316818,16.86220551,39.4142629420565,15.5979147897024
Arkansas,1990,05,00068085,0400000US05,05,AR,00,134768872727,2962859592,lpp_1990,0.45722205465524,33.5315248755206,0.566798151,38.23744965,25.65608406,12.40840435,21.7019763180471,7.61794970208586
Arkansas,1995,05,00068085,0400000US05,05,AR,00,134768872727,2962859592,lpp_1995,0.432674466589998,32.9316662484556,0.551950037,40.12095261,28.19519234,12.93357182,21.6414045911375,7.91396317799167
Arkansas,2000,05,00068085,0400000US05,05,AR,00,134768872727,2962859592,lpp_2000,0.546431388159669,41.849245245769,0.557923496,40.79669571,29.87237358,16.08039093,29.6423900560095,12.6867504985697
Arkansas,2005,05,00068085,0400000US05,05,AR,00,134768872727,2962859592,lpp_2005,0.531751382470927,40.6792903805492,0.643081307,42.67739487,32.18061066,16.67526817,28.7129441680061,12.757322479299
Arkansas,2010,05,00068085,0400000US05,05,AR,00,134768872727,2962859592,lpp_2010,0.541800233753233,41.1132313864957,0.588738322,46.73587418,33.53702927,17.43770218,28.5076142749753,11.6320412314809
California,1990,06,01779778,0400000US06,06,CA,00,403503931312,20463871877,lpp_1990,0.777212374502558,70.2120366261231,0.598739445,42.34678268,30.33882904,16.38671112,55.6656885433189,24.4264765827752
California,1995,06,01779778,0400000US06,06,CA,00,403503931312,20463871877,lpp_1995,0.777324693125472,69.2428107440893,0.609200418,42.90351868,30.94873428,15.66066647,53.5801480357403,24.8718722768124
California,2000,06,01779778,0400000US06,06,CA,00,403503931312,20463871877,lpp_2000,0.687368903287209,53.4799757691065,0.654662013,55.18485641,44.39673615,28.91013718,39.5554418774133,16.8085888279742
California,2005,06,01779778,0400000US06,06,CA,00,403503931312,20463871877,lpp_2005,0.687868850663095,53.7737000429779,0.617148161,50.45943069,40.37861633,24.20210838,40.0844383029436,17.594079051986
California,2010,06,01779778,0400000US06,06,CA,00,403503931312,20463871877,lpp_2010,0.689112760874909,52.5013820808192,0.666916549,50.2824707,38.89439011,22.0317955,37.895828284174,15.1574381945656
Colorado,1990,08,01779779,0400000US08,08,CO,00,268422891711,1181621593,lpp_1990,0.682599395662511,56.0204508746448,0.579258621,36.84123611,25.64426804,12.17846203,41.1071231910039,17.4699317392446
Colorado,1995,08,01779779,0400000US08,08,CO,00,268422891711,1181621593,lpp_1995,0.721114451756243,60.3874206200647,0.56787473,39.60165405,28.08979797,13.75928211,46.8078844308826,24.7733065224846
Colorado,2000,08,01779779,0400000US08,08,CO,00,268422891711,1181621593,lpp_2000,0.601421862905049,45.4466009998325,0.60547626,46.71396637,36.08736801,21.16952896,32.4495645137532,12.6578978292093
Colorado,2005,08,01779779,0400000US08,08,CO,00,268422891711,1181621593,lpp_2005,0.606412340333126,46.4020702298945,0.580472887,43.97002792,34.04939651,19.56089401,33.5941820970059,13.6598974448785
Colorado,2010,08,01779779,0400000US08,08,CO,00,268422891711,1181621593,lpp_2010,0.594793925772542,44.1044152180457,0.609598219,44.16519165,33.07043076,17.63902283,30.9562977426259,11.4348985471069
Connecticut,1990,09,01779780,0400000US09,09,CT,00,12542497068,1815617571,lpp_1990,0.341035919080327,24.6038441452996,0.574266076,42.53723145,30.99552155,16.99235153,14.8620763710916,4.38719196743665
Connecticut,1995,09,01779780,0400000US09,09,CT,00,12542497068,1815617571,lpp_1995,0.315810850913352,23.5548798812637,0.599363744,47.54435349,34.96472549,19.75510597,14.3038898221844,4.28429173676384
Connecticut,2000,09,01779780,0400000US09,09,CT,00,12542497068,1815617571,lpp_2000,0.601892838025041,49.9541670631315,0.655693233,58.5980835,48.70814133,32.71558762,37.7186431199855,18.6145849922462
Connecticut,2005,09,01779780,0400000US09,09,CT,00,12542497068,1815617571,lpp_2005,0.601228363478879,50.6655043988788,0.612258613,56.6206398,49.44418716,31.01522827,38.8897476467697,20.3035825776794
Connecticut,2010,09,01779780,0400000US09,09,CT,00,12542497068,1815617571,lpp_2010,0.605366341076929,49.8087261192886,0.674977183,58.48006058,50.18317413,32.70521164,37.324017253827,17.7784482450487
Delaware,1990,10,01779781,0400000US10,10,DE,00,5045925646,1399985648,lpp_1990,0.472701858121567,40.1728284793561,0.530975223,36.56866074,24.89427185,11.38918209,31.5513989516628,19.1492893506725
Delaware,1995,10,01779781,0400000US10,10,DE,00,5045925646,1399985648,lpp_1995,0.46700951881964,39.4799021456914,0.538938284,40.24495697,27.65749359,12.76714611,30.284668011574,15.8346260124048
Delaware,2000,10,01779781,0400000US10,10,DE,00,5045925646,1399985648,lpp_2000,0.623709062141321,50.2206774159242,0.562413812,43.97914124,32.42271423,17.9433403,35.8541441409646,14.8569669210099
Delaware,2005,10,01779781,0400000US10,10,DE,00,5045925646,1399985648,lpp_2005,0.638388700608077,52.6232973956455,0.558697581,46.51559067,35.65211487,21.38478279,37.9219472102755,16.1057048537876
Delaware,2010,10,01779781,0400000US10,10,DE,00,5045925646,1399985648,lpp_2010,0.621940531796789,49.8943198938525,0.555320203,40.25198364,28.16187286,13.33821869,35.2007278202168,14.2228538981587
District of Columbia,1990,11,01702382,0400000US11,11,DC,00,158340391,18687198,lpp_1990,0.283106012381099,10.0411377898611,0.585148871,42.712883,31.35596848,16.92721558,10.0411377898611,0
District of Columbia,1995,11,01702382,0400000US11,11,DC,00,158340391,18687198,lpp_1995,0.29059656934064,21.0582837530584,0.595307291,42.0722847,31.60449028,15.90213203,0,0
District of Columbia,2000,11,01702382,0400000US11,11,DC,00,158340391,18687198,lpp_2000,0.881771604875659,88.0510088258455,0.644694507,55.15826416,44.76987839,28.14702797,77.5671654114124,38.8371417218871
District of Columbia,2005,11,01702382,0400000US11,11,DC,00,158340391,18687198,lpp_2005,0.881413967243467,88.0230072183227,0.602424264,48.20973969,39.8949852,23.94168282,77.4992307628759,38.6284009151696
District of Columbia,2010,11,01702382,0400000US11,11,DC,00,158340391,18687198,lpp_2010,0.882193031905598,88.1312262955207,0.643347621,43.94498062,35.5385437,20.34712219,77.687825984119,38.9152964496414
Florida,1990,12,00294478,0400000US12,12,FL,00,138949136250,31361101223,lpp_1990,0.814121618703517,77.370636844643,0.603043497,44.44837189,32.66276169,18.25027275,70.2563074530125,46.7898199123465
Florida,1995,12,00294478,0400000US12,12,FL,00,138949136250,31361101223,lpp_1995,0.615465139560722,51.2100446436771,0.605019867,46.31035995,34.6821022,18.97967339,38.1105230285472,19.9880763053373
Florida,2000,12,00294478,0400000US12,12,FL,00,138949136250,31361101223,lpp_2000,0.682520453255845,55.6001487005746,0.627933741,53.14284897,41.81136703,25.44050217,41.7755023228673,19.0657467645445
Florida,2005,12,00294478,0400000US12,12,FL,00,138949136250,31361101223,lpp_2005,0.670011633615971,54.5247475206427,0.667079985,59.37187576,49.00089645,31.77565575,41.0744611727123,19.2898142644509
Florida,2010,12,00294478,0400000US12,12,FL,00,138949136250,31361101223,lpp_2010,0.68222568390224,54.688675842434,0.681595385,52.66433716,39.93489456,23.63547134,40.500886682341,17.4871918674943
Georgia,1990,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_1990,0.479787179954796,38.7674489162026,0.568560839,39.45656586,27.60344696,13.1031971,27.6113613229861,13.2292797158804
Georgia,1995,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_1995,0.437483350943015,34.3062843201279,0.564411819,40.98299026,29.03633308,13.86498356,23.0573632060344,8.40605522105915
Georgia,2000,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_2000,0.558773156195325,42.8704432483012,0.587977648,44.35005951,33.12284851,17.80355835,30.2257093969708,13.3372708542637
Georgia,2005,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_2005,0.556690432513928,43.0206541794334,0.616744637,45.51335907,34.23711014,19.11416817,30.4112350589449,13.8225247138907
Georgia,2010,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_2010,0.573538511766447,43.8096252894524,0.632009983,47.18330383,33.04154205,16.41736984,30.5692707880734,12.9841423824551
