X,ISO3,Year,Gini,Gini_SE,Light_Gini,sol,GDP,POP
442,ARG,1995,43.5,1,80.846891971185,2341083,267011210297.951,34994814
447,ARG,2000,46.5,1,66.5311473306785,2361025,303229512290.352,37057452
452,ARG,2005,45.4,1,66.2048973213092,2383806,333618311350.415,39145488
457,ARG,2010,41,0.9,64.4722548998698,4204216,423627422092.49,41223889
669,AUS,1990,30.3,0.8,88.4172448304255,5724057.94051977,611392988230.359,17065100
674,AUS,1995,31.3,0.7,86.4787917457931,1941599,688161952131.715,18072000
679,AUS,2000,31.9,0.8,64.6154399258069,1735930,847014442957.207,19153000
684,AUS,2005,32.3,0.9,64.5567141878588,1655905,993282533523.894,20394800
689,AUS,2010,33.1,0.6,63.0308135845075,2647333,1142876772659.21,22031750
732,AUT,1995,28,0.4,39.904473027623,952104,289538787622.996,7948278
737,AUT,2000,26.5,0.8,45.7199044235864,992308,336023225281.315,8011566
742,AUT,2005,27.2,0.8,45.0442611702199,1001296,365925550885.24,8227829
747,AUT,2010,28,0.6,42.6772496876476,1827764,390211866490.257,8363404
901,BEL,1990,23.4,0.9,33.340621406199,3058122.30171172,330541658668.503,9967379
906,BEL,1995,25.2,0.8,31.9952109361777,1660401,357719943148.016,10136811
911,BEL,2000,26.5,1,32.7057017634649,1555673,412508919209.612,10251250
916,BEL,2005,26.3,0.8,33.3508360546561,1416885,451300703622.991,10478617
921,BEL,2010,25.6,0.8,37.4942637211426,2157670,483548693409.337,10895586
1549,BOL,2000,54.6,1,69.2559340741496,179805,13481147871.4736,8339512
1554,BOL,2005,52.4,1,69.1080122224191,179958,15696607065.8374,9125409
1597,BRA,1990,52.9,0.9,76.5577097315045,11557982.0318332,1192733081196.32,149352145
1602,BRA,1995,52.2,0.9,75.6143473266194,6616025,1387301889795.79,162296612
1607,BRA,2000,51.5,1,65.6642226542454,6907834,1538707417435.78,175287587
1612,BRA,2005,49.3,0.7,64.9970612444543,6536668,1774799957640.26,186917361
1617,BRA,2010,46.3,0.6,62.7188020686304,12970236,2208871646202.82,196796269
1945,CAN,1990,28.3,0.6,76.4797518251257,27482359.8224488,1014073201232.01,27791000
1950,CAN,1995,29.3,0.5,76.5881342665328,16685653,1102814170729.94,29354000
1955,CAN,2000,31.2,0.5,49.218969452529,13115749,1342736881188.7,30769700
1960,CAN,2005,31.3,0.6,49.2201128450606,10552677,1524530644076.37,32312000
1965,CAN,2010,31.4,0.5,48.7970885538045,16909953,1613464422811.13,34005274
2071,CHE,2000,28.3,0.8,59.0891574234671,772124,483397815576.516,7184250
2076,CHE,2005,28.7,0.9,54.7108342375096,879348,520659164826.063,7437115
2081,CHE,2010,29.4,0.7,55.3564539727157,1355664,581208562423.374,7824909
2177,CHL,1990,51.1,1,84.7995748424406,1097681.20756961,78761086957.4583,13242132
2245,CHN,2000,45.9,1,77.3285715402805,13370984,2237080505073.63,1262645000
2540,COL,2005,52.1,0.9,64.2136342738346,949055,229936852450.343,43285634
