ISO3,year,country,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,redist_after,redist,abs_red,abs_red_se,rel_red,rel_red_se,region,light_gini_lpp,sol,sol_gt10,light_gini_lpp_gt10,income_cat
AFG,2010,Afghanistan,34,2.2,34.8,2.2,,,,,,,Asia,73.7948316447269,172748,2272.85328006122,58.010017924731,Low Income
AGO,2000,Angola,45.6,2.7,51.4,3,,,,,,,Africa,61.9492769895057,57031,1396.52541958851,59.3990757223157,Middle Income
AGO,2005,Angola,45.3,2.2,51.4,2.6,,,,,,,Africa,67.4697478657946,76847,1303.41995068325,63.7453395237905,Middle Income
AIA,2005,Anguilla,36.5,3,37.7,3.7,,,,,,,Americas,63.4569424195077,1530,16.7072923989155,42.4793864133387,
ALB,2000,Albania,38.6,2.4,46,5.2,,,,,,,Europe,48.6180960694098,63950,790.519052273782,41.69535218599,Middle Income
ALB,2005,Albania,38.9,2.1,46.5,5.1,,,,,,,Europe,47.6404151167785,83890,1071.36563953937,41.2474529528384,Middle Income
ALB,2010,Albania,38.6,2.7,46.7,5.6,,,,,,,Europe,51.7825837130515,151449,2184.43576249682,42.7151040599836,Middle Income
ARG,1990,Argentina,42.3,1.2,43.4,2.3,1985,TRUE,1.1,2.6,2.5,3.5,Americas,79.9212407150896,4126316.83065997,10176.4556437878,76.6154639624997,High Income
ARG,1995,Argentina,43.5,1,44.9,2.3,1985,TRUE,1.4,2.5,3.1,3.4,Americas,80.846891971185,2341083,19937.2812960016,73.3458154017198,High Income
ARG,2000,Argentina,46.5,1,47.8,2.4,1985,TRUE,1.3,2.6,2.7,3.5,Americas,66.5311473306785,2361025,43476.5852563169,57.7351393123827,High Income
ARG,2005,Argentina,45.4,1,46.8,2.4,1985,TRUE,1.4,2.6,3,3.5,Americas,66.2048973213093,2383806,43964.3409086686,59.1821840376514,High Income
ARG,2010,Argentina,41,0.9,42.6,2.1,1985,TRUE,1.6,2.3,3.8,3.1,Americas,64.4722548998698,4204216,83478.4960419598,55.0414181823426,High Income
ARG,2015,Argentina,38.1,1.2,39.9,2.2,1985,TRUE,1.8,2.5,4.5,3.3,Americas,85.2332865755206,4068803.47698411,64800.9342638419,81.7163963680002,High Income
ARM,1990,Armenia,32.2,2.4,38.5,2.3,1993,FALSE,,,,,Asia,46.468518157694,39956.9832879809,12.4374798459395,46.468518157694,Middle Income
ARM,1995,Armenia,36.5,2.3,44.4,2.4,1993,TRUE,7.9,3.3,17.8,4.1,Asia,43.3447957229516,29556,12.9711017130736,43.3447957229516,Middle Income
ARM,2000,Armenia,37.9,1.9,46.2,2.1,1993,TRUE,8.3,2.8,18,3.5,Asia,39.0383238316762,44869,610.114848541819,39.0383238316762,Middle Income
ARM,2005,Armenia,35.8,1.6,43.9,1.8,1993,TRUE,8.1,2.4,18.5,3,Asia,38.4642291386433,61850,920.39454331561,37.4838332900078,Middle Income
ARM,2010,Armenia,33.9,1.6,41.5,1.7,1993,TRUE,7.6,2.3,18.3,2.9,Asia,40.0582755117229,130381,2290.6581615494,39.158062743748,Middle Income
ARM,2015,Armenia,34.6,2.4,42.5,2.4,1993,TRUE,7.9,3.4,18.6,4.2,Asia,56.6251347967576,28310.4750368372,299.173123248205,56.5116626453426,Middle Income
AUS,1990,Australia,30.3,0.8,44.2,1.1,1975,TRUE,13.9,1.4,31.4,1.8,Oceania,88.4172448304255,5724057.94051977,6528.17713975399,77.1609740668566,High Income
AUS,1995,Australia,31.3,0.7,47.4,1,1975,TRUE,16.1,1.2,34,1.6,Oceania,86.4787917457931,1941599,11506.6127405357,72.7848410997157,High Income
